"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mir-362-3p",-0.0589529654798522,8.09109407386958,-0.634808010335109,0.535992818217449,0.819705341070454,-7.4559964935188
"mir-219a-1-3p",-0.0312052487645884,7.1921691567382,-0.246297713809166,0.809097023742694,0.920481472797323,-7.47214977589995
"mir-500-3p",0.0336738409592607,7.2897427916862,0.239068392811202,0.814585374156923,0.920481472797323,-7.4957115172065
"mir-101c-3p",0.0810061535127407,10.6292999768205,0.917495179337829,0.374724312217128,0.760844054439184,-7.49642420593803
"mir-511-3p",0.0436321104155324,7.70794884154184,0.411262344313762,0.687229604316828,0.896592777112572,-7.51298818656175
"mir-92a-1-5p",-0.0287852274607312,7.33752526134024,-0.170885652817012,0.866807231447788,0.936088629405116,-7.52025057532058
"mir-455-3p",0.056114818177015,8.18318713841855,0.547526163470165,0.592809791133699,0.83833972897405,-7.52622999489245
"mir-673-5p",-0.0226088999174401,7.33421042690247,-0.123079988288686,0.903827855274754,0.950070210660904,-7.52712019688439
"mir-199b-5p",-0.0779182470025717,10.1119259067827,-0.836886110805248,0.416990315404384,0.786862294216093,-7.55229145164221
"mir-3969-5p",0.0772616314928101,8.50179308644125,0.600242229662599,0.558125951391682,0.837341966738053,-7.55343792896996
"mir-486b-3p",0.0807804936576186,9.8051649235047,0.818011502790016,0.427324051773649,0.789640031854176,-7.55429333034376
"mir-350-3p",-0.0442627678441898,8.03856904705002,-0.42881903404829,0.674708778776742,0.896592777112572,-7.56173975062458
"mir-16-2-3p",0.0238947037456345,7.60013189233903,0.161606455277362,0.873970531567977,0.936101138077549,-7.57041190511945
"mir-361-3p",-0.0942699938480924,9.44407351522754,-0.761400855681063,0.459300864409279,0.79650823032254,-7.57261036628369
"mir-1198-5p",-0.0766552784730568,9.75545713977965,-0.778807528561448,0.449312643958577,0.79650823032254,-7.58347669081864
"mir-300-3p",-0.0816000552622249,9.54385423486042,-0.751201551558297,0.465217196471572,0.79650823032254,-7.5896372841123
"mir-582-5p",0.114113496903126,7.75995497661092,0.178277278855749,0.861109750823127,0.935628863875128,-7.59458498357447
"mir-326-3p",-0.0701425132317919,9.20037553379594,-0.694244887500736,0.499111755897947,0.819705341070454,-7.59728576579043
"mir-28a-3p",0.0543665821874502,10.9085691621622,0.796422693527246,0.439345436172147,0.789640031854176,-7.60964866596937
"mir-503-3p",-0.0307169040854873,8.01189458400428,-0.256757576943777,0.801174646880169,0.920481472797323,-7.61971417488791
"mir-1947-5p",0.0219896641628807,8.02489869151761,0.18662703337123,0.85468341888364,0.935188231453138,-7.63852571505987
"mir-434-5p",-0.0525257428443542,9.70242084059976,-0.645106177134348,0.529494809473487,0.819705341070454,-7.67838179838441
